dataset,Variant_ID,Label,oof_proba,oof_pred_0_5,oof_pred_best_threshold,oof_prediction_count,label_confidence,uncertain_zone
KANSER,VAR_003656,0,0.9814428736749438,1,1,3,0.01855712632505624,False
KANSER,VAR_004581,0,0.9721999806759314,1,1,3,0.027800019324068614,False
KANSER,VAR_004647,1,0.032248632492233795,0,0,3,0.032248632492233795,False
KANSER,VAR_003707,0,0.9675391767692011,1,1,3,0.03246082323079891,False
KANSER,VAR_004556,0,0.9534245543696338,1,1,3,0.0465754456303662,False
KANSER,VAR_004425,0,0.9508863505215605,1,1,3,0.04911364947843955,False
KANSER,VAR_000624,0,0.9422028660227372,1,1,3,0.05779713397726283,False
KANSER,VAR_001267,0,0.9381989586009912,1,1,3,0.06180104139900877,False
KANSER,VAR_004432,0,0.9210405214915204,1,1,3,0.07895947850847962,False
KANSER,VAR_004440,1,0.08373838529149245,0,0,3,0.08373838529149245,False
KANSER,VAR_001003,0,0.913997280074298,1,1,3,0.08600271992570196,False
KANSER,VAR_001083,0,0.8886615806557095,1,1,3,0.11133841934429045,False
KANSER,VAR_000693,0,0.8741427735677257,1,1,3,0.12585722643227426,False
KANSER,VAR_004422,0,0.8644119468444608,1,1,3,0.13558805315553923,False
KANSER,VAR_001253,1,0.13959105105463818,0,0,3,0.13959105105463818,False
KANSER,VAR_001061,0,0.8454038818980596,1,1,3,0.1545961181019404,False
KANSER,VAR_000929,0,0.816306472358063,1,1,3,0.18369352764193703,False
KANSER,VAR_003692,1,0.1926840987669278,0,0,3,0.1926840987669278,False
KANSER,VAR_004397,0,0.7981492637228849,1,1,3,0.20185073627711514,False
KANSER,VAR_004336,0,0.7980595859377372,1,1,3,0.20194041406226282,False
KANSER,VAR_003681,1,0.22902192793633128,0,0,3,0.22902192793633128,False
KANSER,VAR_001252,0,0.7490616248501816,1,1,3,0.2509383751498184,False
KANSER,VAR_004410,0,0.743209722716477,1,1,3,0.256790277283523,False
KANSER,VAR_000675,0,0.7412167366928027,1,1,3,0.25878326330719725,False
KANSER,VAR_001005,0,0.7376351236942046,1,1,3,0.2623648763057954,False
KANSER,VAR_000930,0,0.7275118017060166,1,1,3,0.2724881982939834,False
KANSER,VAR_000627,1,0.2876183339396644,0,0,3,0.2876183339396644,False
KANSER,VAR_004395,0,0.7083830869540638,1,1,3,0.2916169130459362,False
KANSER,VAR_004717,1,0.3245192807129122,0,0,3,0.3245192807129122,False
KANSER,VAR_000993,0,0.6639509552430548,1,1,3,0.3360490447569452,False
KANSER,VAR_004594,1,0.3376055237894455,0,0,3,0.3376055237894455,False
